Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions,Price_per_Transaction,HighDemand,PriceTier,Freehold_Flag,Is_Central,Log_Median_Price,Log_Median_PSF,Area_Transaction_Intensity,State_Price_Tier,Township_Uniqueness_Index,Price_to_PSF_Ratio,Tenure_Type_Interaction,Is_Capital_City,Transaction_Volume_Flag
TAMAN SCIENTEX KOTA TINGGI,Kota Tinggi,Johor,Leasehold,Terrace House,80000.0,104.0,105,754.7169811320755,1,Low,0,0,11.289794413577894,4.653960350157523,Medium,Tier 1: High-Cost State,2,769.2307692307693,Leasehold_Terrace House,0,High_Volume
LAMAN ASPIRASI (BANTING),Banting,Selangor,Freehold,"Semi D, Terrace House",180000.0,129.0,104,1714.2857142857142,1,Low,1,0,12.100717685412471,4.867534450455582,Medium,Tier 1: High-Cost State,2,1395.3488372093022,"Freehold_Semi D, Terrace House",0,High_Volume
BANDAR MAHKOTA CHERAS,Cheras,Selangor,Freehold,"Terrace House, Semi D, Town House",640000.0,422.0,103,6153.846153846154,1,High,1,0,13.369225017834633,6.0473721790462776,High,Tier 1: High-Cost State,2,1516.5876777251185,"Freehold_Terrace House, Semi D, Town House",0,High_Volume
PRIMA @ SITIAWAN,Sitiawan,Perak,Freehold,Terrace House,270610.0,193.0,102,2627.2815533980583,1,Low,1,0,12.508437644299123,5.267858159063328,High,Tier 3: Low-Cost State,2,1402.1243523316061,Freehold_Terrace House,0,High_Volume
BANDAR MAHKOTA BANTING (BANDAR BARU BROOKLANDS),Tanjong Duabelas,Selangor,Freehold,Terrace House,400000.0,258.0,102,3883.4951456310678,1,Medium,1,0,12.899222326086994,5.556828061699537,Medium,Tier 1: High-Cost State,2,1550.3875968992247,Freehold_Terrace House,0,High_Volume
OUG Parklane,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Service Residence,580000.0,611.0,102,5631.0679611650485,1,High,1,0,13.270785106659046,6.416732282512326,Medium,Tier 1: High-Cost State,2,949.2635024549918,Freehold_Service Residence,1,High_Volume
ALAM IMPIAN,Shah Alam,Selangor,Freehold,Terrace House,887800.0,488.0,99,8878.0,1,High,1,0,13.696502897761253,6.192362489474872,High,Tier 1: High-Cost State,2,1819.2622950819673,Freehold_Terrace House,0,High_Volume
Dorsett Residences Bukit Bintang,Bukit Bintang,Kuala Lumpur,Freehold,Service Residence,1482000.0,1664.0,94,15600.0,1,High,1,0,14.208903759601775,7.417580402414544,Low,Tier 1: High-Cost State,2,890.625,Freehold_Service Residence,1,High_Volume
BANDAR TASIK PUTERI,Rawang,Selangor,Leasehold,Terrace House,400000.0,281.0,93,4255.31914893617,1,Medium,0,0,12.899222326086994,5.641907070938114,Medium,Tier 1: High-Cost State,2,1423.4875444839859,Leasehold_Terrace House,0,High_Volume
BANDAR UTAMA,Bandar Utama,Selangor,Freehold,Terrace House,1510000.0,849.0,92,16236.559139784946,1,High,1,0,14.227620871042543,6.745236349484363,Medium,Tier 1: High-Cost State,3,1778.563015312132,Freehold_Terrace House,0,High_Volume
PERWIRA SERI ISKANDAR,Seri Iskandar,Perak,Leasehold,Terrace House,145000.0,104.0,92,1559.1397849462367,1,Low,0,0,11.884495917930655,4.653960350157523,Medium,Tier 3: Low-Cost State,2,1394.2307692307693,Leasehold_Terrace House,0,High_Volume
TAMAN AUSTIN DUTA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",781000.0,493.0,92,8397.849462365592,1,High,1,0,13.568331709230735,6.202535517187923,High,Tier 1: High-Cost State,2,1584.1784989858013,"Freehold_Terrace House, Cluster House",0,High_Volume
TAMAN PULAI INDAH,Skudai,Johor,Freehold,"Terrace House, Cluster House",460000.0,321.0,92,4946.236559139785,1,Medium,1,0,13.038983942375959,5.7745515455444085,High,Tier 1: High-Cost State,2,1433.0218068535826,"Freehold_Terrace House, Cluster House",0,High_Volume
BANDAR BARU LAPANGAN,Ipoh,Perak,Leasehold,Terrace House,588800.0,369.0,91,6400.0,1,High,0,0,13.285843544764926,5.91350300563827,High,Tier 3: Low-Cost State,2,1595.6639566395663,Leasehold_Terrace House,0,High_Volume
TAMAN PUTERIMAS (KLUANG),Kluang,Johor,Freehold,Terrace House,250750.0,119.0,89,2786.1111111111113,1,Low,1,0,12.432215693852122,4.787491742782046,High,Tier 1: High-Cost State,2,2107.1428571428573,Freehold_Terrace House,0,High_Volume
D'ART HILLS RESIDENCE,Senai,Johor,Freehold,Terrace House,839000.0,591.0,89,9322.222222222223,1,High,1,0,13.639967177343745,6.3835066348840055,Medium,Tier 1: High-Cost State,2,1419.6277495769882,Freehold_Terrace House,0,High_Volume
